date,open,high,low,close,volume,dividends,splits
2010-01-04,92.0,92.84,91.3,92.79,118944600,0.0,0
2010-01-05,92.73,93.08,92.4,93.03,111579900,0.0,0
2010-01-06,92.94,93.33,92.87,93.1,116074400,0.0,0
2010-01-07,92.93,93.61,92.67,93.49,131091100,0.0,0
2010-01-08,93.25,93.84,93.06,93.8,126402800,0.0,0
2010-01-11,94.22,94.26,93.53,93.93,106375700,0.0,0
2010-01-12,93.31,93.51,92.7,93.06,163333500,0.0,0
2010-01-13,93.3,94.11,92.82,93.84,161822000,0.0,0
2010-01-14,93.74,94.27,93.68,94.1,115718800,0.0,0
2010-01-15,93.93,94.02,92.68,93.04,212283100,0.0,0
2010-01-19,93.03,94.26,93.0,94.2,139172700,0.0,0
2010-01-20,93.57,93.71,92.5,93.25,216490200,0.0,0
2010-01-21,93.27,93.56,91.34,91.45,344859600,0.0,0
2010-01-22,91.04,91.49,89.32,89.42,345942400,0.0,0
2010-01-25,90.23,90.4,89.58,89.87,186937500,0.0,0
2010-01-26,89.52,90.45,89.28,89.5,211168800,0.0,0
2010-01-27,89.38,90.13,88.69,89.92,271863600,0.0,0
2010-01-28,90.22,90.27,88.35,88.89,316104000,0.0,0
2010-01-29,89.28,89.9,87.79,87.93,310677600,0.0,0
2010-02-01,88.55,89.3,88.02,89.29,187865000,0.0,0
2010-02-02,89.46,90.55,89.15,90.37,216327900,0.0,0
2010-02-03,89.96,90.46,89.66,89.92,172730700,0.0,0
2010-02-04,89.23,89.27,87.13,87.15,356715700,0.0,0
2010-02-05,87.25,87.51,85.62,87.33,493585800,0.0,0
2010-02-08,87.39,87.88,86.63,86.7,224166900,0.0,0
2010-02-09,87.71,88.55,87.01,87.79,337820500,0.0,0
2010-02-10,87.65,88.1,86.88,87.61,240511500,0.0,0
2010-02-11,87.5,88.63,86.99,88.53,223591600,0.0,0
2010-02-12,87.6,88.51,87.2,88.46,304622100,0.0,0
2010-02-16,89.13,89.94,88.28,89.85,159317500,0.0,0
2010-02-17,90.28,90.4,89.85,90.27,168845100,0.0,0
2010-02-18,90.13,91.0,90.09,90.81,193708600,0.0,0
2010-02-19,90.57,91.35,90.36,91.0,222684900,0.0,0
2010-02-22,91.33,91.36,90.74,91.01,132346900,0.0,0
2010-02-23,90.77,91.04,89.67,89.91,207497000,0.0,0
2010-02-24,90.18,90.88,89.95,90.73,176350700,0.0,0
2010-02-25,89.44,90.68,89.19,90.61,259634700,0.0,0
2010-02-26,90.69,90.98,90.15,90.67,173589300,0.0,0
2010-03-01,91.04,91.7,91.02,91.61,147709700,0.0,0
2010-03-02,92.0,92.31,91.7,91.86,160992400,0.0,0
2010-03-03,92.1,92.49,91.72,91.95,150785000,0.0,0
